,course_organization,course_Certificate_type,course_rating,course_students_enrolled_modified,course_difficulty_modified
387,IE Business School,SPECIALIZATION,4.8,4.0,1.0
388,University of Michigan,SPECIALIZATION,4.6,3.0,0.0
389,Google Cloud,COURSE,4.6,12.0,1.0
390,Google Cloud,COURSE,4.7,3.0,1.0
391,Google,PROFESSIONAL CERTIFICATE,4.7,9.0,0.0
392,Google,PROFESSIONAL CERTIFICATE,4.8,35.0,0.0
393,"University of California, Irvine",COURSE,4.7,43.0,0.5
394,University of Colorado Boulder,SPECIALIZATION,4.7,1.0,0.0
395,University of Pennsylvania,COURSE,4.8,26.0,0.5
396,Lund University,COURSE,4.6,5.0,0.0
397,Berklee College of Music,COURSE,4.8,21.0,0.5
398,University of California San Diego,COURSE,4.7,6.0,0.5
399,Johns Hopkins University,COURSE,4.8,24.0,0.5
400,Universidad Nacional Autónoma de México,SPECIALIZATION,4.7,4.0,0.0
401,Pontificia Universidad Católica de Chile,COURSE,4.8,6.0,0.5
402,University of Colorado Boulder,COURSE,4.2,7.0,1.0
403,University of Florida,COURSE,4.6,3.0,0.5
404,Johns Hopkins University,SPECIALIZATION,4.5,8.0,0.0
405,"University of California, Davis",SPECIALIZATION,4.5,5.0,1.0
406,University of Pennsylvania,SPECIALIZATION,4.7,1.0,1.0
407,University of Minnesota,SPECIALIZATION,4.4,3.0,0.0
408,Rutgers the State University of New Jersey,SPECIALIZATION,4.6,5.0,0.0
409,Northwestern University,COURSE,4.8,4.0,0.5
410,University of Colorado System,SPECIALIZATION,4.7,5.0,0.0
411,ESSEC Business School,SPECIALIZATION,4.6,2.0,0.0
412,University of Virginia,COURSE,4.8,17.0,1.0
413,The State University of New York,COURSE,3.3,14.0,0.5
414,Michigan State University,SPECIALIZATION,4.1,3.0,0.0
415,University of Minnesota,SPECIALIZATION,4.7,9.0,0.0
416,IBM,PROFESSIONAL CERTIFICATE,4.6,14.0,1.0
417,IBM,SPECIALIZATION,4.4,3.0,2.0
418,IBM,PROFESSIONAL CERTIFICATE,4.6,22.0,0.0
419,IBM,COURSE,4.8,3.0,0.0
420,IBM,PROFESSIONAL CERTIFICATE,4.6,48.0,0.0
421,IBM,SPECIALIZATION,4.5,3.0,0.0
422,Google,COURSE,4.8,6.0,0.0
423,(ISC)²,COURSE,4.9,1.0,0.0
424,IE Business School,SPECIALIZATION,4.7,2.0,0.0
425,Automation Anywhere,SPECIALIZATION,4.6,2.0,0.0
426,Georgia Institute of Technology,SPECIALIZATION,4.7,61.0,0.0
427,deeplearning.ai,COURSE,4.9,27.0,0.0
428,Luther College at the University of Regina,SPECIALIZATION,4.4,1.0,0.0
429,The Museum of Modern Art,COURSE,4.9,7.0,0.0
430,University of Alberta,COURSE,4.8,5.0,0.5
431,Google Cloud,COURSE,4.5,3.0,0.0
432,Imperial College London,SPECIALIZATION,5.0,1.0,1.0
433,Rutgers the State University of New Jersey,COURSE,4.4,1.0,1.0
434,Macquarie University,SPECIALIZATION,4.8,2.0,0.0
435,"Royal Holloway, University of London",COURSE,4.6,3.0,0.0
436,New York University,SPECIALIZATION,4.6,1.0,0.0
437,University of Minnesota,SPECIALIZATION,4.7,1.0,0.0
438,"University of California, Irvine",COURSE,4.7,18.0,0.5
439,Erasmus University Rotterdam,COURSE,4.6,4.0,0.0
440,The University of Sydney,COURSE,4.8,1.0,0.0
441,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.8,2.0,0.0
442,HEC Paris,SPECIALIZATION,4.5,7.0,0.0
443,Case Western Reserve University,SPECIALIZATION,4.7,9.0,1.0
444,University of Michigan,COURSE,4.8,8.0,0.5
445,University of Illinois at Urbana-Champaign,COURSE,4.2,1.0,0.5
446,University of Michigan,COURSE,4.6,9.0,1.0
447,University of Minnesota,SPECIALIZATION,4.8,1.0,0.0
448,University of Pennsylvania,SPECIALIZATION,4.8,8.0,1.0
449,University of California San Diego,SPECIALIZATION,4.5,15.0,1.0
450,ESCP Business School,COURSE,4.6,6.0,0.0
451,University of London,SPECIALIZATION,4.5,2.0,1.0
452,The State University of New York,COURSE,4.4,2.0,0.5
453,Kalshoven-Gieskes Forum,COURSE,4.8,2.0,0.0
454,Universiteit Leiden,COURSE,4.8,3.0,0.5
455,Universiteit Leiden,COURSE,4.8,1.0,0.5
456,Università Bocconi,COURSE,4.8,4.0,0.5
